index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,做大做强先进制造业,近日，中共中央总书记、国家主席、中央军委主席习近平就发展先进制造业作出重要指示指出，党的十八大以来，我国先进制造业不断发展壮大，创新力、竞争力、综合实力显著增强，制造强国建设迈出坚实步伐。现代制造业离不开科技赋能，要大力加强技术攻关，走自主创新的发展路子。,7904503,https://www.baidu.com/s?wd=%E5%81%9A%E5%A4%A7%E5%81%9A%E5%BC%BA%E5%85%88%E8%BF%9B%E5%88%B6%E9%80%A0%E4%B8%9A&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/0f7e10f043571df53ebc58ecc713be8c,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
2,人民日报评“第一学历歧视”,针对硕士毕业生因“第一学历”为专科被头部互联网公司取消录用一事，人民日报发表评论指出，此举涉嫌就业歧视。教育部已明确无“第一学历”概念，2026年“国聘行动”也禁止设院校限制。文章呼吁破除学历壁垒，建立多元评价标尺，善待奋斗者。,7808009,https://www.baidu.com/s?wd=%E4%BA%BA%E6%B0%91%E6%97%A5%E6%8A%A5%E8%AF%84%E2%80%9C%E7%AC%AC%E4%B8%80%E5%AD%A6%E5%8E%86%E6%AD%A7%E8%A7%86%E2%80%9D&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/b2c48d8ad0b925c2946b4f9a377613db,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
3,住建局回应5公里路面500个井盖,9月10日，网友曾曝光潮州市湘桥区北山路5公里路段分布超500个井盖，影响出行体验。9月20日，潮州市湘桥区住建局回应称，工程已完成，井盖密度“没办法更改”。,7712701,https://www.baidu.com/s?wd=%E4%BD%8F%E5%BB%BA%E5%B1%80%E5%9B%9E%E5%BA%945%E5%85%AC%E9%87%8C%E8%B7%AF%E9%9D%A2500%E4%B8%AA%E4%BA%95%E7%9B%96&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/b4767c2976b06ccc11d8b5df79c72a4b,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
4,“安居钱”越来越好用了,住房公积金这笔 “安居钱” 使用迎来优化调整，提取情形从6种扩至9种，可用于装修、缴纳物业费，租房提取取消收入比例门槛。多地先行拓展取暖费、车位购置等场景，打通租房、购房、修房全链条，让公积金更好为群众住房消费减负。,7618413,https://www.baidu.com/s?wd=%E2%80%9C%E5%AE%89%E5%B1%85%E9%92%B1%E2%80%9D%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%A5%BD%E7%94%A8%E4%BA%86&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/63854b04573ba7e0fc98167465b9e6c7,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
5,中美经贸磋商在美国纽约开始举行,当地时间9月20日上午，中美两国经贸团队在美国纽约开始举行中美经贸磋商。,7522038,https://www.baidu.com/s?wd=%E4%B8%AD%E7%BE%8E%E7%BB%8F%E8%B4%B8%E7%A3%8B%E5%95%86%E5%9C%A8%E7%BE%8E%E5%9B%BD%E7%BA%BD%E7%BA%A6%E5%BC%80%E5%A7%8B%E4%B8%BE%E8%A1%8C&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/cf35f65f117cd7a64039181b3ad5ed9b,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
6,韩国男篮亚运夺冠免除兵役,9月20日，亚运会韩国男篮以67比57战胜日本队，夺得爱知名古屋亚运会男篮冠军，全队确认免兵役，疯狂庆祝。最终日本队获亚军，伊朗队获季军，中国队获第四名。,7425783,https://www.baidu.com/s?wd=%E9%9F%A9%E5%9B%BD%E7%94%B7%E7%AF%AE%E4%BA%9A%E8%BF%90%E5%A4%BA%E5%86%A0%E5%85%8D%E9%99%A4%E5%85%B5%E5%BD%B9&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/d9dba0d66c286643397240476ba7d774,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
7,伊朗队员：今天就想让国民能开心一些,9月20日，在男篮亚运会铜牌战中，伊朗男篮79-70力克中国男篮夺得铜牌。赛后，伊朗队长卡兹米表示，过去几个月国民像生活在地狱，球队希望这场胜利能让国民开心一些。,7330406,https://www.baidu.com/s?wd=%E4%BC%8A%E6%9C%97%E9%98%9F%E5%91%98%EF%BC%9A%E4%BB%8A%E5%A4%A9%E5%B0%B1%E6%83%B3%E8%AE%A9%E5%9B%BD%E6%B0%91%E8%83%BD%E5%BC%80%E5%BF%83%E4%B8%80%E4%BA%9B&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/5f3cd1cbb80fdba293438634495463ba,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
8,一件件文物归来 这事中美办得漂亮,近日，国家文物局在华盛顿、纽约接收美方返还的64件（套）流失文物。此前，自中美签署相关谅解备忘录17年来，美方累计向中方返还文物超20批次、700余件。此次回归文物均为美方执法部门查获，中美密切协作促成返还，走出了一条跨国文物追索的有效路径。,7237583,https://www.baidu.com/s?wd=%E4%B8%80%E4%BB%B6%E4%BB%B6%E6%96%87%E7%89%A9%E5%BD%92%E6%9D%A5+%E8%BF%99%E4%BA%8B%E4%B8%AD%E7%BE%8E%E5%8A%9E%E5%BE%97%E6%BC%82%E4%BA%AE&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/015ecbbca2cfadebca6b9e4387f52633,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
9,西贝来到“生死线”边缘,9月19日，网传西贝将在两三个月内倒闭，西贝回应称全国门店正常运营。数据显示，截至当日西贝在营门店较高峰已减少至少约144家，收缩近四成，西贝仍未找到新盈利模型。,7138764,https://www.baidu.com/s?wd=%E8%A5%BF%E8%B4%9D%E6%9D%A5%E5%88%B0%E2%80%9C%E7%94%9F%E6%AD%BB%E7%BA%BF%E2%80%9D%E8%BE%B9%E7%BC%98&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/63756f9816b7c67f9610f9bd645a3524,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
10,警方通报重庆嘉陵江大桥上现滑翔伞,9月20日，重庆市公安局两江新区分局通报“嘉陵江大桥出现滑翔伞”事件。经查，9月19日11时20分许，伊某、马某未经审批，从两江新区一小区楼顶擅自使用滑翔伞起飞，降落至相国寺码头人行步道，期间未造成人员伤亡及财产损失。目前，两人已被依法给予行政处罚。,7042407,https://www.baidu.com/s?wd=%E8%AD%A6%E6%96%B9%E9%80%9A%E6%8A%A5%E9%87%8D%E5%BA%86%E5%98%89%E9%99%B5%E6%B1%9F%E5%A4%A7%E6%A1%A5%E4%B8%8A%E7%8E%B0%E6%BB%91%E7%BF%94%E4%BC%9E&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/c606b9ac9178299906ca7f9c494efe79,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
11,亚运会颁奖礼仪人员好多大爷大妈,9月20日，名古屋亚运会首个金牌日，颁奖仪式负责托举奖牌托盘的礼仪人员多为白发老人，与年轻冠军同框画面引发热议。本届亚运会共集结约4万名志愿者，年龄跨度从18岁到91岁，学生仅占1/3。,6944473,https://www.baidu.com/s?wd=%E4%BA%9A%E8%BF%90%E4%BC%9A%E9%A2%81%E5%A5%96%E7%A4%BC%E4%BB%AA%E4%BA%BA%E5%91%98%E5%A5%BD%E5%A4%9A%E5%A4%A7%E7%88%B7%E5%A4%A7%E5%A6%88&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/ce75f5b87e17d81887ee84d9958ec9ca,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
12,长沙电动车时速超25码要被抓不实,近日，网传长沙电动车要称重、时速超25码就查处，此消息不实。交警表示，整治重点为闯红灯、不戴头盔等6类交通违法行为。,6848248,https://www.baidu.com/s?wd=%E9%95%BF%E6%B2%99%E7%94%B5%E5%8A%A8%E8%BD%A6%E6%97%B6%E9%80%9F%E8%B6%8525%E7%A0%81%E8%A6%81%E8%A2%AB%E6%8A%93%E4%B8%8D%E5%AE%9E&sa=fyb_news&rsv_dl=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/896f4257379c288427e64a3d9eab82fa,百度热搜,实时热搜,realtime,hotlist,,2026-09-21 00:21:16
