index,title,desc,hot,url,image,source,type,datetime,ranking_id,published_at
1,上财滴水湖高金迎2026开学第一课：持续探索“新金融、新产业、新技术”融合,,,http://news.10jqka.com.cn/20260905/c679628282.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
2,上证报中国证券网讯(记者宋薇萍)9月5日，由临港新片区管委会、上海财经大学和临港集团三方共建的上海财经大学滴水湖高级金融学院迎来2026级新生开学典礼，350余名2026级金融硕士、金融MBA、 ...,,,http://news.10jqka.com.cn/20260905/c679628282.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
3,主力大调仓，超376亿资金，撤出这一方向,,,http://news.10jqka.com.cn/20260905/c679627836.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
4,本周(8月31日—9月4日)，A股市场震荡调整，三大指数周线均有所回落。资金面上，本周沪深两市主力资金合计净流出678.20亿元。传媒、农林牧渔、商贸零售板块获主力资金逆势净买入，电子、通信 ...,,,http://news.10jqka.com.cn/20260905/c679627836.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
5,汽车新势力巨头，大手笔入股这家A股子公司,,,http://news.10jqka.com.cn/20260905/c679627067.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
6,9月4日晚间，欣旺达公告称，欣旺达子公司欣旺达动力科技股份有限公司(下称“欣旺达动力”)拟进行C++轮增资扩股，引入北京理想汽车有限公司。理想汽车拟出资26.5亿元，认购欣旺达动力约14亿 ...,,,http://news.10jqka.com.cn/20260905/c679627067.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
7,半导体巨头，拟大手笔扩产,,,http://news.10jqka.com.cn/20260905/c679626615.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
8,半导体巨头华虹宏力(688347)近日披露，公司拟建设无锡三期项目。该项目总投资69.5亿美元，利用公司无锡基地现有生产和动力厂房新建洁净室和动力系统，并配置相应的工艺设备、量测和辅助设备 ...,,,http://news.10jqka.com.cn/20260905/c679626615.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
9,自然资源部党组理论学习中心组专题学习习近平党建思想,,,http://news.10jqka.com.cn/20260905/c679626596.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
10,9月2日，自然资源部党组召开理论学习中心组学习(扩大)会议，深入学习贯彻习近平党建思想和习近平总书记在庆祝中国共产党成立105周年大会上的重要讲话精神，研讨交流学习体会和贯彻落实举措 ...,,,http://news.10jqka.com.cn/20260905/c679626596.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
11,欣旺达：子公司欣旺达动力引入理想汽车增资26.5亿元 夯实动力电池领域竞争力,,,http://news.10jqka.com.cn/20260905/c679626456.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
12,中证智能财讯欣旺达(300207)9月4日晚间公告，公司子公司欣旺达动力科技股份有限公司拟进行增资扩股，引入北京理想汽车有限公司作为战略投资者。理想汽车出资26.5亿元认购欣旺达动力新增注册 ...,,,http://news.10jqka.com.cn/20260905/c679626456.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
13,《质量与标准化工作实务》实务问答工具书正式出版,,,http://news.10jqka.com.cn/20260905/c679626267.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
14,近日，由张维波主编的《质量与标准化工作实务》由中国标准出版社正式出版。该书立足质量与标准化一线工作实际，以问答形式系统梳理相关基础知识、法规要求与实操方法，为质量、标准化从业人 ...,,,http://news.10jqka.com.cn/20260905/c679626267.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
15,中国建筑集团有限公司党组成员、副总经理陈勇接受中央纪委国家监委纪律审查和监察调查,,,http://news.10jqka.com.cn/20260905/c679625956.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
16,人民财讯9月5日电，据中央纪委国家监委消息，中国建筑集团有限公司党组成员、副总经理陈勇涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。 ...,,,http://news.10jqka.com.cn/20260905/c679625956.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
17,新和成：持续对维生素E生物合成等前沿技术保持跟踪与关注,,,http://news.10jqka.com.cn/20260905/c679625497.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
18,人民财讯9月5日电，新和成9月5日在互动平台表示，公司坚持创新驱动发展，依托“化工+”“生物+”两大核心技术平台，发展各类功能性化学品。公司建有生物发酵研究院，持续对维生素E生物合成 ...,,,http://news.10jqka.com.cn/20260905/c679625497.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
19,多家海风企业跨界 打造第二增长曲线,,,http://news.10jqka.com.cn/20260905/c679625449.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
20,人民财讯9月5日电，多家海上风电企业2026年半年报披露跨界业务新进展。一众海风企业跳出传统风电装备制造主业，依托海工制造、海域资源优势，向船舶建造、商业航天、储能、海水制氢等多元赛 ...,,,http://news.10jqka.com.cn/20260905/c679625449.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
21,中国科技创新吸引全球未来企业家,,,http://news.10jqka.com.cn/20260905/c679624689.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
22,德意志银行近日组织来自新兴市尝欧洲和中东的未来企业家访问北京，考察中国AI生态和前沿科技产业。德意志银行私人银行部新兴市场总经理马科亚表示，中国的长期战略规划、基础设施投资及公私 ...,,,http://news.10jqka.com.cn/20260905/c679624689.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
23,国家发展改革委召开“十五五”规划《纲要》重大工程建设推进会议 调度109项重大工程项目实施,,,http://news.10jqka.com.cn/20260905/c679623510.shtml,,同花顺,今日要闻,2026-09-06 01:15:56,,
