datetime,index,id,type,title,desc,hot,createtime,url,img
2024-11-26 05:44:12,1,5111422573,知乎热榜,成都警方通报「王宝强被举报诈骗」，系民事纠纷，不属于公安机关管辖范围，透露了哪些信息？,2024年11月25日，成都市公安局郫都区分局发布情况通报： 11月20日，我局接到钱某龙报案，称其受四川某体育文化传播有限公司委托，到公安机关控告王某强及其公司未按承诺向该公司支付报酬，涉嫌诈骗。 经询问报案人，并对其提供证据逐一审查后，我局认定报案反映的问题系民事纠纷，不属于公安机关管辖范围，已告知报案人通过民事途径解决。 成都市公安局郫都区分局 2024年11月25日成都郫都警方通报“钱某龙控告王某强及其公司涉嫌诈骗”：不属于公安机关管辖范围_腾讯新闻,396 万热度,2024-11-25 11:35:18,https://www.zhihu.com/question/5111422573,https://picx.zhimg.com/80/v2-634219e80446505fc744748631e4e673_1440w.webp?source=1def8aca
2024-11-26 05:44:12,2,5162799250,知乎热榜,上海某饭馆推出一款售价 200 元一碗的潮汕砂锅白粥，店员称贵是因为人工现熬，这个定价合理吗？,近日，上海某饭馆200元一份的潮汕砂锅白粥火了。 视频显示，菜单上潮汕白粥价格2-3人份为100元，4-6人份为200元，只有一砂锅白粥和一些咸菜。店员称是用东北有机大米和阿尔卑斯山矿物质水煮的，之所以贵是因为人工现熬。但网友表示自己点的这锅200元白粥底部烧糊了。 网友指出，上述饭馆位于上海市浦东新区，主营潮汕特色砂锅粥等。点评类网站显示，该饭馆人均消费在111元左右。其中，招牌海鲜粥2人份的售价为199元，5-7人份399元，潮汕白粥价格与网传一致。 11月25日，该饭馆店长告诉中国新闻周刊，这款白粥之所以贵是因为“使用了依云水（某法国品牌矿泉水）熬煮，其它粥用的是普通过滤水。不愿吃不要选择就可以了。” 该店长介绍，这款白粥并不是店内主推菜品，“初衷不是卖给大众消费的，是老板做过给朋友他们觉得好吃，就弄到菜单上了，十几年前就是这个价格了。” 此外，他认为嫌贵的“都不是我们终极顾客，是我们的客人深更半夜也会打电话让我煮一锅白粥。” 至于网友反映的200元白粥糊底了，其表示不清楚当时店员是怎么处理的。 对于网友反映白粥价格太贵的问题，中国新闻周刊致电该饭馆所在地市监部门——上海市浦东新区市监局潍坊市监所咨询，工作人员表示，已记录下网传信息，将与相关负责人反映核实情况。对于企业自主定价商品，“价格（是否）过高不好随便定义，要看实际情况”，若商家没有明码标价、哄抬物价将进行监管。如果消费者有直接证据，可在12315平台投诉举报，监管部门会启动调查流程。市监部门回应“一份白粥200元”,382 万热度,2024-11-26 01:56:54,https://www.zhihu.com/question/5162799250,https://pica.zhimg.com/50/v2-a835741755842c98546ac982e9cd3744_b.jpg
2024-11-26 05:44:12,3,4411719772,知乎热榜,如果你对肉铺老板说「来十斤瘦肉，不要半点肥的在上面，细细切做臊子」，老板会是什么反应？,水浒传现代版,365 万热度,2024-11-17 10:22:24,https://www.zhihu.com/question/4411719772,https://pica.zhimg.com/80/v2-c9a8c50efcdc0e5916a10c0ef41d62b1_1440w.webp?source=1def8aca
2024-11-26 05:44:12,4,5156577598,知乎热榜,网红羊毛月北大学历被质疑造假，是通过保送途径进入北大研究生院，而非北大本科毕业，这算造假吗？,近日，网络红人羊毛月的学历问题再次被网友扒了出来。一位自称北京大学在读学生的网友发文质疑羊毛月的北大本科学历，指出其实际上是通过保送途径进入北京大学研究生院，而非北大本科毕业。 这一事件再次将公众人物的诚信问题推向风口浪尖。 羊毛月，一个在网络上拥有众多粉丝的知名人士，一直以“北大学霸”的人设自居。然而，事实却是他本科毕业于中国传媒大学，后通过保送途径成为北京大学研究生。这一真相的揭露，让许多曾经崇拜羊毛月的粉丝感到失望，甚至有人称之为“塌房”。 作为一个北京大学在读学生对羊毛月的评价，透露出以下几点信息： 1. 公众人物的形象塑造需谨慎。羊毛月曾在网络上营造北大学霸的人设，让不少人误以为他是北大本科毕业。这种夸大其词的行为，一旦被揭穿，便会失去粉丝的信任。 2. 诚信是公众人物的立身之本。羊毛月在学历问题上的不实宣传，损害了自己的声誉，也让粉丝感到被欺骗。诚信缺失的公众人物，难以在网络上长久立足。 3. 网络时代，信息透明度越来越高。在互联网的放大镜下，任何虚假信息都难以遁形。羊毛月的学历风波再次提醒我们，诚实守信是网络时代的基本准则。 4. 教育背景不应成为评价一个人的唯一标准。虽然羊毛月并非北大本科学历，但他在中国传媒大学的求学经历同样值得尊重。然而，过分夸大或虚构学历，只会适得其反。 首先，公众人物要有自我约束意识，树立正确的价值观。在网络时代，公众人物的影响力巨大，一言一行都可能成为关注的焦点。 因此，保持诚信，树立良好的形象至关重要。 其次，粉丝应理性看待偶像。追星本无错，但盲目崇拜容易导致价值观扭曲。粉丝应学会辨别是非，关注偶像的正能量，而非仅仅学历背景。 最后，社会各界应共同营造健康的网络环境。对于公众人物的虚假宣传，媒体和相关部门要及时揭露，引导公众树立正确的价值观。 总之，羊毛月北大学历风波再次提醒我们，诚信是公众人物的基石。在网络时代，让我们共同努力，营造一个诚信、健康的网络环境。羊毛月北大学历被质疑造假？网友扒出其真实学历,347 万热度,2024-11-26 00:35:04,https://www.zhihu.com/question/5156577598,https://picx.zhimg.com/50/v2-8e2662ae3c794a568981848efce2b937_b.jpg
2024-11-26 05:44:12,5,5021691875,知乎热榜,美国国债总额突破 36 万亿美元再创新高，仅 3 个多月增长 1 万亿，这意味着什么？为何增速如此快？,据美国独立研究机构联邦预算问责委员会公布的最新报告，美国国债总额已于本周突破36万亿美元，达到创纪录的新高。从今年7月底，美国国债总额达到35万亿，到现在升至36万亿，仅仅用了三个多月时间。 联邦预算问责委员会主席马娅·麦吉尼亚斯在发言稿中直言：“如今，美国政府借款正变得像季节的变化一样规律而确定。”不过马娅·麦吉尼亚斯的说法显然有缺漏，虽然美债的增长确实如季节更替一般必然，但它当下增长的速度却远比规律的季节更替快得多。（央视新闻） https://content-static.cctvnews.cctv.com/snow-book/index.html?item_id=7574276678606678047&toc_style_id=feeds_default&track_id=7605829F-627C-4CA6-8405-BE3D916DA855_754141566438&share_to=copy_url,194 万热度,2024-11-24 11:54:57,https://www.zhihu.com/question/5021691875,https://pic3.zhimg.com/50/v2-c81bb48c171462cd429488e3b67ebe38_b.jpg
2024-11-26 05:44:12,6,5154362707,知乎热榜,江苏中小学寒假延长，共放 28 天，学生可过完元宵节再去上学，怎样看待这一变化？是否会有更多地区跟进？,江苏省中小学幼儿园2024-2025学年度第一学期校历 发布。2025年江苏省中小学幼儿园寒假放假时间拟定为1月20日，春季开学时间拟定为2月17日，寒假有28天。 2025年1月28日是农历除夕，元宵节是2月12日。这意味着，学生可以在家里度过元宵节后再去上学了。共28天！江苏中小学寒假延长,110 万热度,2024-11-25 23:22:44,https://www.zhihu.com/question/5154362707,https://pic4.zhimg.com/50/v2-e028ad403f0a086e2ff3219885e432a5_b.jpg
2024-11-26 05:44:12,7,527168394,知乎热榜,假如《甄嬛传》里的纯元并没有死，按照皇上的性格，他们会不会成为另一个兰因絮果？,,88 万热度,2022-04-10 15:45:11,https://www.zhihu.com/question/527168394,https://pic3.zhimg.com/50/v2-ccc78a7e4b7f238aae4e5ca654f2c6fc_b.jpg
2024-11-26 05:44:12,8,4274498113,知乎热榜,毕业论文致谢上，你们会写男/女朋友吗？,就是我在思考，毕业致谢里面如果当时有对象，但是考虑到以后是否会分手这个问题，然后就不写，就是怕写了会很尴尬，这件事情，你怎么看啊？ 我是赞成写的，但是写不写是别人的自由,87 万热度,2024-11-15 15:36:04,https://www.zhihu.com/question/4274498113,https://picx.zhimg.com/a7b3ba759_xl.jpg?source=57bbeac9
2024-11-26 05:44:12,9,5170137745,知乎热榜,如何看待最新一期乒乓球世界排名，樊振东11年来首次跌出前五，孙颖莎王楚钦仍排男女第一？,[图片],81 万热度,2024-11-26 03:18:42,https://www.zhihu.com/question/5170137745,https://pic4.zhimg.com/50/v2-b1de81fb6bb89408912d80e1a1d5956b_b.jpg
2024-11-26 05:44:12,10,4271933103,知乎热榜,男朋友喜欢踢足球，应该是踢后卫，不考虑成本，送什么球鞋会比较好？,他应该是踢后卫的！不考虑预算！?,77 万热度,2024-11-15 14:55:21,https://www.zhihu.com/question/4271933103,https://picx.zhimg.com/v2-8919f8d110ff6ed289c1861aa474ae7d_xl.jpg?source=57bbeac9
