index,title,desc,hot,url,image,source,type,datetime
1,美国8月非农录得16.2万大超预期 美联储9月加息押注升温,"①美国8月非农就业人数录得16.2万人，为3月以来新高，远高于市场预期的5.6万人；
②非农数据公布后美联储9月加息预期升温，数据公布后美元指数短线走高约40点，现货黄金短线下跌逾80美元失守4400美元/盎司。",859123,https://www.cls.cn/detail/2474737,https://image.cls.cn/images/20260904/3ql2F4Jw86_800x533.jpg,财联社,热门快讯,2026-09-06 02:22:19
2,美国8月非农大超预期 美股三大期指涨跌不一 | 今夜看点,"①美国8月非农就业人数增加16.2万人，大幅高于市场预期的5.5万人；
②铠侠拟推动NAND闪存替代部分DRAM；
③特斯拉Cybercab在美投入运营，在中国即将首秀。",762036,https://www.cls.cn/detail/2474660,https://image.cls.cn/img/vcg/VCG31N2280328213_937ed2419cc94f5dbd85fbec245efeed_1788520902.jpeg,财联社,热门快讯,2026-09-06 02:22:19
3,【早报】美股存储概念股，逆势飙涨；油价上涨、黄金下挫；私募行业迎监管新规,①央行：9月7日将开展5000亿元买断式逆回购操作②私募行业迎监管新规③美股三大指数集体收跌④美国8月非农就业人数大增16.2万人⑤2家A股公司被证监会立案。,836437,https://www.cls.cn/detail/2474846,https://image.cls.cn/images/20260905/h5IiASYJx5_1000x800.jpg,财联社,热门快讯,2026-09-06 02:22:19
4,美债抛售只是暂时现象？贝森特：伊朗战事结束后油价或跌至40美元,"①美国财长贝森特最新表示，一旦伊朗冲突结束，油价将暴跌至每桶40美元，从而带动近期飙升至多年高位的债券收益率回落；
②贝森特还淡化了挪威主权财富基金（全球最大主权财富基金之一）计划减持美国国债一事。",568653,https://www.cls.cn/detail/2474912,https://image.cls.cn/images/20260905/gi0P03IqvR_1024x587.png,财联社,热门快讯,2026-09-06 02:22:19
5,特朗普再度施压美联储：如果不降息，就切断与部分国家的贸易往来,"①美东时间周五，特朗普要求美联储大幅降息，否则将停止与对美有贸易顺差国家的贸易往来；
②这番言论显示，特朗普正在重新加大对美联储的施压。距美国中期选举还有两个月，高通胀为核心议题之一。",506209,https://www.cls.cn/detail/2474788,https://image.cls.cn/img/vcg/VCG111663781781_f33875d75bda45ff8cdd5da3fb276609_1788539408.jpeg,财联社,热门快讯,2026-09-06 02:22:19
6,直击2026国谈首日：多家企业代表难掩喜色 中药、慢病药轮番上场,"①2026年国谈首日开启，华润三九、广誉远、康缘药业等中药企业率先登场；
②下午场恒瑞医药、辉瑞、诺和诺德等接棒，慢病品种开始密集谈判；
③整体气氛较为轻松，企业代表难掩喜色，“预沟通”等机制推动医保准入进一步前移。",319223,https://www.cls.cn/detail/2474936,https://image.cls.cn/img/vcg/VCG41N1447258414_14395761b393470987a1ee28dc08ccc5_1788593007.jpeg,财联社,热门快讯,2026-09-06 02:22:19
7,美股收盘：非农压制市场情绪 存储、光通信等AI概念股逆势爆发,"①非农数据大超预期，三大指数集体收跌；
②AI板块逆势爆发，Aehr测试系统涨13.1%、闪迪涨11.9%、迈威尔科技涨7.05%；
③Bloom Energy成为标普500成分股；
④特斯拉Cybercab发布会被指“未达预期”。",700970,https://www.cls.cn/detail/2474841,https://image.cls.cn/images/20260905/JHuw307H06_4000x3027.jpg,财联社,热门快讯,2026-09-06 02:22:19
8,马斯克预警AI电力缺口！全球掀电网建设潮 算电协同迎投资机遇,"①马斯克预计，2027年AI芯片可能面临至少15吉瓦的电力缺口；
②电力供应已成为制约美国AI算力扩张的“天花板”；
③电力供需失衡背景下，加快电网建设成为全球共识，中美韩纷纷出招。",419797,https://www.cls.cn/detail/2474152,https://image.cls.cn/img/vcg/VCG41N1303514019_d9b12f37b5704c1eace84d57e78306ba_1788502302.jpeg,财联社,热门快讯,2026-09-06 02:22:19
9,特斯拉“赛博出租车”，被调查,,252007,https://www.cls.cn/detail/2474973,https://image.cls.cn/images/20260905/eWjzbJGgzI_960x642.png,财联社,热门快讯,2026-09-06 02:22:19
10,美伊局势持续紧张！特朗普再度威胁：或很快打击伊朗“镐山”核设施,"①美国总统特朗普周五再次威胁称，美国可能“很快”就会打击伊朗的“镐山”核设施；
②同时他还淡化了局势，将目前与伊朗的冲突形容为“小事一桩”，并称美国正在实施间歇性打击行动；
③对于美伊冲突何时结束，特朗普表示他无法给出时间表。",595157,https://www.cls.cn/detail/2474852,https://image.cls.cn/images/20260905/6kDmAUxQiY_1200x801.png,财联社,热门快讯,2026-09-06 02:22:19
11,“史上最大IPO”时间表有变 Anthropic据悉最早10月中旬启动路演,"①据报道，Anthropic预计最早将于10月中旬开始推介其IPO，并在11月美国中期选举前几天完成上市；
②知情人士表示，Anthropic原本预计最早将于下周公开其IPO招股说明书，但如今预计要到9月下旬才会公布招股书；
③这一调整意味着Anthropic上市计划推迟。",446039,https://www.cls.cn/detail/2474873,https://image.cls.cn/images/20260905/fujv1U9ID2_1200x800.png,财联社,热门快讯,2026-09-06 02:22:19
12,央行等量续作3个月期买断式逆回购 月初再现7天期逆回购“封零” 资金面迎多重扰动因素,"①央行等量续作5000亿元买断式逆回购操作，9月初央行再度对7天期逆回购实施零操作，市场认为这是避免主要市场利率较大幅度向下偏离政策利率中枢
②9月政府债供给放量及缴款压力是资金面的主要扰动因素，但在财政金融协同配合基调下，资金面持续大幅收敛的风险整体可控。",524614,https://www.cls.cn/detail/2474733,https://image.cls.cn/img/vcg/VCG41N1474746579_6c6027750f294e68a28872a537278891_1788529057.jpeg,财联社,热门快讯,2026-09-06 02:22:19
13,新世界地图要来了！联合国：停止“小看”非洲,"①9月4日联合国大会以164票赞成、1票反对（美国为唯一反对方）、6票弃权通过决议，鼓励各国政府、学校等停止使用墨卡托投影地图；
②决议指出墨卡托投影有天然缺陷：赤道附近区域面积被压缩、两极区域被放大，非洲实际面积是格陵兰岛的14倍却在图上大小相近；该决议不具法律约束力。",506600,https://www.cls.cn/detail/2474894,https://image.cls.cn/images/20260905/TX8epSAHN2_2048x1154.jpg,财联社,热门快讯,2026-09-06 02:22:19
